filename,pred_class,confidence,top3_classes
00001.jpg,mean shift,0.9015828371047974,"[('mean shift', 0.9015828371047974), ('chromatic_aberrations', 0.07143856585025787), ('contrast_change', 0.023601891472935677)]"
00005.jpg,image_denoising,0.9992743134498596,"[('image_denoising', 0.9992743134498596), ('gaussian_blur', 0.0005456627113744617), ('jpeg2000_compression', 0.00011683790216920897)]"
00006.jpg,change of color saturation,0.6834892630577087,"[('change of color saturation', 0.6834892630577087), ('color_quantization_with_dithering', 0.3020040690898895), ('masked_noise', 0.006986815016716719)]"
00008.jpg,gaussian_blur,0.9996289014816284,"[('gaussian_blur', 0.9996289014816284), ('sparse_sampling_and_reconstruction', 0.00025062906206585467), ('contrast_change', 0.0001102905225707218)]"
00009.jpg,jpeg2000_transmission_errors,0.6090335249900818,"[('jpeg2000_transmission_errors', 0.6090335249900818), ('image_denoising', 0.3633494973182678), ('comfort_noise', 0.022877201437950134)]"
00012.jpg,quantization_noise,0.9395639300346375,"[('quantization_noise', 0.9395639300346375), ('contrast_change', 0.05977747216820717), ('jpeg2000_transmission_errors', 0.00018830859335139394)]"
00013.jpg,chromatic_aberrations,0.9241681694984436,"[('chromatic_aberrations', 0.9241681694984436), ('image_denoising', 0.05398641526699066), ('quantization_noise', 0.01322562899440527)]"
00014.jpg,gaussian_blur,0.9999192953109741,"[('gaussian_blur', 0.9999192953109741), ('sparse_sampling_and_reconstruction', 4.397960219648667e-05), ('image_denoising', 1.47219961945666e-05)]"
00015.jpg,non_eccentricity_pattern_noise,0.8524883985519409,"[('non_eccentricity_pattern_noise', 0.8524883985519409), ('contrast_change', 0.12712201476097107), ('mean shift', 0.016164714470505714)]"
00018.jpg,sparse_sampling_and_reconstruction,0.9558396339416504,"[('sparse_sampling_and_reconstruction', 0.9558396339416504), ('jpeg2000_compression', 0.03748644143342972), ('gaussian_blur', 0.005655230954289436)]"
00023.jpg,change of color saturation,0.8257404565811157,"[('change of color saturation', 0.8257404565811157), ('color_quantization_with_dithering', 0.10437007993459702), ('jpeg2000_transmission_errors', 0.04117517173290253)]"
00024.jpg,gaussian_blur,0.9999496936798096,"[('gaussian_blur', 0.9999496936798096), ('chromatic_aberrations', 1.4305943295767065e-05), ('sparse_sampling_and_reconstruction', 1.1867240573337767e-05)]"
00027.jpg,non_eccentricity_pattern_noise,0.38788363337516785,"[('non_eccentricity_pattern_noise', 0.38788363337516785), ('contrast_change', 0.3484576344490051), ('mean shift', 0.25191277265548706)]"
00028.jpg,gaussian_blur,0.9993711113929749,"[('gaussian_blur', 0.9993711113929749), ('image_denoising', 0.00042231992119923234), ('chromatic_aberrations', 0.00010427751840325072)]"
00029.jpg,image_denoising,0.8400497436523438,"[('image_denoising', 0.8400497436523438), ('jpeg2000_transmission_errors', 0.14542856812477112), ('jpeg2000_compression', 0.006089064292609692)]"
00030.jpg,contrast_change,0.9525769352912903,"[('contrast_change', 0.9525769352912903), ('mean shift', 0.02372262068092823), ('change of color saturation', 0.022794030606746674)]"
00035.jpg,gaussian_blur,0.9576891660690308,"[('gaussian_blur', 0.9576891660690308), ('image_denoising', 0.029299430549144745), ('chromatic_aberrations', 0.012807385064661503)]"
00036.jpg,chromatic_aberrations,0.7288331985473633,"[('chromatic_aberrations', 0.7288331985473633), ('mean shift', 0.2525486350059509), ('contrast_change', 0.012769031338393688)]"
00038.jpg,gaussian_blur,0.9926490187644958,"[('gaussian_blur', 0.9926490187644958), ('image_denoising', 0.004611177835613489), ('jpeg2000_compression', 0.0020446653943508863)]"
00040.jpg,change of color saturation,0.6828300952911377,"[('change of color saturation', 0.6828300952911377), ('contrast_change', 0.29301127791404724), ('sparse_sampling_and_reconstruction', 0.009929653257131577)]"
00041.jpg,chromatic_aberrations,0.9959002137184143,"[('chromatic_aberrations', 0.9959002137184143), ('mean shift', 0.0024748577270656824), ('image_denoising', 0.0014711496187373996)]"
00044.jpg,mean shift,0.9294118881225586,"[('mean shift', 0.9294118881225586), ('contrast_change', 0.06805641949176788), ('chromatic_aberrations', 0.0017739861505106091)]"
00045.jpg,contrast_change,0.8049230575561523,"[('contrast_change', 0.8049230575561523), ('gaussian_blur', 0.15467025339603424), ('mean shift', 0.035391055047512054)]"
00046.jpg,quantization_noise,0.9840998649597168,"[('quantization_noise', 0.9840998649597168), ('chromatic_aberrations', 0.00950865913182497), ('image_denoising', 0.003682513255625963)]"
00047.jpg,gaussian_blur,0.999861478805542,"[('gaussian_blur', 0.999861478805542), ('sparse_sampling_and_reconstruction', 0.00011778472253354266), ('jpeg2000_compression', 8.733126378501765e-06)]"
00048.jpg,gaussian_blur,0.9674056172370911,"[('gaussian_blur', 0.9674056172370911), ('image_denoising', 0.030527634546160698), ('jpeg2000_compression', 0.0016042670467868447)]"
00049.jpg,non_eccentricity_pattern_noise,0.9430265426635742,"[('non_eccentricity_pattern_noise', 0.9430265426635742), ('multiplicative_gaussian_noise', 0.018620748072862625), ('contrast_change', 0.011562938801944256)]"
00051.jpg,sparse_sampling_and_reconstruction,0.8357220888137817,"[('sparse_sampling_and_reconstruction', 0.8357220888137817), ('gaussian_blur', 0.1631702333688736), ('jpeg2000_compression', 0.0010328300995752215)]"
00054.jpg,gaussian_blur,0.9958578944206238,"[('gaussian_blur', 0.9958578944206238), ('jpeg2000_compression', 0.0024020266719162464), ('image_denoising', 0.0011505858274176717)]"
